MetaboliteName,SuperClass,Class,SubClass,Level5,Level6,Level7
pelargonidin_3-glucoside,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Anthocyanins,Anthocyanidin-3-O-glycosides
equol,Phenylpropanoids and polyketides,Isoflavonoids,Isoflavans,Isoflavanols,NA,NA
n-(2-hydroxyphenyl)acetamide,Benzenoids,Benzene and substituted derivatives,Anilides,Acetanilides,NA,NA
dihydrocaffeic_acid_3-glucuronide,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
hesperetin,Phenylpropanoids and polyketides,Flavonoids,O-methylated flavonoids,4'-O-methylated flavonoids,NA,NA
"2,6-dihydroxybenzoic_acid",Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Hydroxybenzoic acid derivatives,Salicylic acid and derivatives,Salicylic acids
α-carotene,Lipids and lipid-like molecules,Prenol lipids,Tetraterpenoids,Carotenoids,Carotenes,NA
2-methylpyrogallol_1-sulfate,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
4-methylumbelliferone_glucuronide,Phenylpropanoids and polyketides,Coumarins and derivatives,Coumarin glycosides,NA,NA,NA
2-benzoxazolinone,Organoheterocyclic compounds,Benzoxazoles,Benzoxazolones,NA,NA,NA
daidzein_4'-glucuronide,Phenylpropanoids and polyketides,Isoflavonoids,Isoflavonoid O-glycosides,NA,NA,NA
"5-(3',4',5'-trihydroxyphenyl)-γ-valerolactone_4'-glucuronide",Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
hesperetin_3'-sulfate,Phenylpropanoids and polyketides,Flavonoids,O-methylated flavonoids,4'-O-methylated flavonoids,NA,NA
sucralose,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,C-glycosyl compounds,NA
3'-methylepicatechin,Phenylpropanoids and polyketides,Flavonoids,Flavans,Flavan-3-ols,Catechins,NA
5-n-heptadecylresorcinol,Benzenoids,Phenols,Benzenediols,Resorcinols,NA,NA
"2,6-dihydroxybenzoic_acid_6-glucuronide",Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
naringenin_7-glucuronide,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Flavonoid O-glucuronides,Flavonoid-7-O-glucuronides
malic_acid,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,NA,NA,NA
"4-hydroxy-5-(3',4'-dihydroxyphenyl)-valeric_acid_3'-glucuronide",Lipids and lipid-like molecules,Saccharolipids,NA,NA,NA,NA
5-n-heneicosylresorcinol,Benzenoids,Phenols,Benzenediols,Resorcinols,NA,NA
curcumin_glucuronide,Phenylpropanoids and polyketides,Diarylheptanoids,Linear diarylheptanoids,Curcuminoids,NA,NA
dihydroferulic_acid,Phenylpropanoids and polyketides,Phenylpropanoic acids,NA,NA,NA,NA
1-methylhistidine,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Histidine and derivatives
caffeic_acid_3-glucuronide,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
"2,4,6-trihydroxybenzaldehyde",Benzenoids,Phenols,Benzenetriols and derivatives,Phloroglucinols and derivatives,Acylphloroglucinols and derivatives,NA
o-coumaric_acid_sulfate,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Coumaric acids and derivatives,Coumaric acids,NA
1-hydroxypyrene_glucuronide,Benzenoids,Pyrenes,NA,NA,NA,NA
epicatechin_3'-glucuronide,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Flavonoid O-glucuronides,NA
indoxyl_sulfate,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,NA,NA,NA
"1,3,7-trimethyluric_acid",Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Xanthines,NA,NA
hydroxytyrosol_3'-sulfate,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
hesperetin_5-glucuronide,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Flavonoid O-glucuronides,NA
2-hydroxyphenylacetic_acid,Benzenoids,Benzene and substituted derivatives,Phenylacetic acids,2(hydroxyphenyl)acetic acids,NA,NA
2-aminophenol,Benzenoids,Benzene and substituted derivatives,Aniline and substituted anilines,NA,NA,NA
cis-resveratrol_4'-glucuronide,Phenylpropanoids and polyketides,Stilbenes,Stilbene glycosides,NA,NA,NA
trans-resveratrol_4'-glucuronide,Phenylpropanoids and polyketides,Stilbenes,Stilbene glycosides,NA,NA,NA
"3,4-dihydroxyphenylacetic_acid",Benzenoids,Phenols,Benzenediols,Catechols,NA,NA
alanine_betaine,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Alanine and derivatives
4'-methylepicatechin_7-glucuronide,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Flavonoid O-glucuronides,Flavonoid-7-O-glucuronides
feruloylglycine,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,N-acyl-alpha amino acids and derivatives
4-methylcatechol_2-sulfate,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
proline_betaine,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Proline and derivatives
l-phenylalanine,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Phenylalanine and derivatives
"2,4-dihydroxy-1,4-benzoxazin-3-one",Organoheterocyclic compounds,Benzoxazines,Benzoxazinones,NA,NA,NA
hydroxytyrosol_3'-glucuronide,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
carnosine,Organic acids and derivatives,Peptidomimetics,Hybrid peptides,NA,NA,NA
daidzein_4'-sulfate,Phenylpropanoids and polyketides,Isoflavonoids,Isoflav-2-enes,Isoflavones,NA,NA
saccharin,Organoheterocyclic compounds,Benzothiazoles,NA,NA,NA,NA
3-caffeoylquinic_acid,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Cyclic alcohols and derivatives,Cyclitols and derivatives,Quinic acids and derivatives
5-caffeoylquinic_acid,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Cyclic alcohols and derivatives,Cyclitols and derivatives,Quinic acids and derivatives
homovanillic_acid_4-glucuronide,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
"3,4-dihydroxybenzoic_acid_3-glucuronide",Phenylpropanoids and polyketides,Tannins,Hydrolyzable tannins,NA,NA,NA
isorhamnetin_3-sulfate,Phenylpropanoids and polyketides,Flavonoids,O-methylated flavonoids,3'-O-methylated flavonoids,NA,NA
sucrose,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,O-glycosyl compounds,NA
"5-(3',4',5'-trihydroxyphenyl)-γ-valerolactone",Benzenoids,Phenols,Benzenetriols and derivatives,Pyrogallols and derivatives,NA,NA
isoferulic_acid_3-sulfate,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Coumaric acids and derivatives,NA,NA
creatinine,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,NA
naringenin_4'-glucuronide,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Flavonoid O-glucuronides,NA
genistein_diglucuronide,Phenylpropanoids and polyketides,Isoflavonoids,Isoflavonoid O-glycosides,NA,NA,NA
genistein_7-sulfate,Phenylpropanoids and polyketides,Isoflavonoids,Isoflav-2-enes,Isoflavones,NA,NA
4-hydroxybenzoic_acid_glucuronide,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
β-cryptoxanthin,Lipids and lipid-like molecules,Prenol lipids,Tetraterpenoids,Carotenoids,Xanthophylls,NA
gallic_acid_4-sulfate,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Hydroxybenzoic acid derivatives,Gallic acid and derivatives,NA
5-(3'-hydroxyphenyl)-γ-valerolactone_3'-sulfate,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
4-hydroxyphenylacetic_acid_glucuronide,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
"2,4-dihydroxybenzoic_acid_4-sulfate",Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
d-pinitol,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Secondary alcohols,Cyclohexanols,NA
gallic_acid_4-glucuronide,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
α-linolenic_acid,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,NA,NA,NA
quercetin_3-glucuronide,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Flavonoid O-glucuronides,Flavonoid-3-O-glucuronides
trans-resveratrol_3-sulfate,Phenylpropanoids and polyketides,Stilbenes,NA,NA,NA,NA
cis-resveratrol_3-sulfate,Phenylpropanoids and polyketides,Stilbenes,NA,NA,NA,NA
5-hydroxyindole-3-acetic_acid,Organoheterocyclic compounds,Indoles and derivatives,Indolyl carboxylic acids and derivatives,Indole-3-acetic acid derivatives,NA,NA
enterodiol,"Lignans, neolignans and related compounds",Dibenzylbutane lignans,Dibenzylbutanediol lignans,NA,NA,NA
dihydrocaffeic_acid,Phenylpropanoids and polyketides,Phenylpropanoic acids,NA,NA,NA,NA
epicatechin_7-glucuronide,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Flavonoid O-glucuronides,Flavonoid-7-O-glucuronides
tartaric_acid,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Sugar acids and derivatives,NA,NA
4'-methylepicatechin_5-glucuronide,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Flavonoid O-glucuronides,NA
4-hydroxybenzoic_acid,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Hydroxybenzoic acid derivatives,NA,NA
epicatechin_3-sulfate,Phenylpropanoids and polyketides,Flavonoids,Flavans,Flavan-3-ols,Catechins,NA
kaempferol_3-glucuronide,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Flavonoid O-glucuronides,Flavonoid-3-O-glucuronides
homovanillyl_alcohol_glucuronide,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
naringenin,Phenylpropanoids and polyketides,Flavonoids,Flavans,Flavanones,NA,NA
4-methylumbelliferone_sulfate,Phenylpropanoids and polyketides,Coumarins and derivatives,NA,NA,NA,NA
3-hydroxyphenylacetic_acid,Benzenoids,Phenols,1-hydroxy-4-unsubstituted benzenoids,NA,NA,NA
epicatechin_4'-glucuronide,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Flavonoid O-glucuronides,NA
catechin_4'-glucuronide,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Flavonoid O-glucuronides,NA
5-(3'-methoxy-4'-hydroxyphenyl)-γ-valerolactone_sulfate,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
5-(3'-methoxy-4'-hydroxyphenyl)-γ-valerolactone,Benzenoids,Phenols,Methoxyphenols,NA,NA,NA
gallic_acid_3-sulfate,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Hydroxybenzoic acid derivatives,Gallic acid and derivatives,NA
5-n-pentacosylresorcinol,Benzenoids,Phenols,Benzenediols,Resorcinols,NA,NA
"2,4-dihydroxy-7-methoxy-1,4-benzoxazin-3-one",Organoheterocyclic compounds,Benzoxazines,Benzoxazinones,NA,NA,NA
daidzein_7-glucuronide-4'-sulfate,Phenylpropanoids and polyketides,Isoflavonoids,Isoflavonoid O-glycosides,NA,NA,NA
bergaptol,Phenylpropanoids and polyketides,Coumarins and derivatives,Furanocoumarins,Linear furanocoumarins,Psoralens,5-hydroxypsoralens
3-methylxanthine,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Xanthines,NA,NA
"3,4-dihydroxybenzoic_acid_3-sulfate",Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
4-caffeoylquinic_acid,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Cyclic alcohols and derivatives,Cyclitols and derivatives,Quinic acids and derivatives
petunidin_3-glucoside,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Anthocyanins,Anthocyanidin-3-O-glycosides
5-(hydroxymethyl-2-furoyl)glycine,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,N-acyl-alpha amino acids and derivatives
cyclamate,Organic acids and derivatives,Sulfamic acid derivatives,Cyclamates,NA,NA,NA
tyrosol_glucuronide,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
urolithin_c,Phenylpropanoids and polyketides,Coumarins and derivatives,NA,NA,NA,NA
dihydroresveratrol,Phenylpropanoids and polyketides,Stilbenes,NA,NA,NA,NA
formononetin,Phenylpropanoids and polyketides,Isoflavonoids,O-methylated isoflavonoids,4'-O-methylated isoflavonoids,4'-O-methylisoflavones,NA
"3,7-dimethyluric_acid",Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Xanthines,NA,NA
"4-hydroxy-5-(3',4'-dihydroxyphenyl)-valeric_acid_3'-sulfate",Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Sulfated fatty acids,NA,NA
trans-piceid,Phenylpropanoids and polyketides,Stilbenes,Stilbene glycosides,NA,NA,NA
"2,4-dihydroxybenzoic_acid_4-glucuronide",Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
enterolactone,"Lignans, neolignans and related compounds",Furanoid lignans,Tetrahydrofuran lignans,"9,9'-epoxylignans",Dibenzylbutyrolactone lignans,NA
homovanillic_acid_4-sulfate,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
3-hydroxybenzaldehyde,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Aldehydes,Aryl-aldehydes,Benzaldehydes
"3,4-dihydroxybenzaldehyde",Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Aldehydes,Aryl-aldehydes,Benzaldehydes
catechol_glucuronide,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
s-methylcysteine,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Cysteine and derivatives
sulforaphane-n-acetyl-cysteine,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,N-acyl-alpha amino acids and derivatives
4-hydroxyphenylacetic_acid_sulfate,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
"3-(3,5-dihydroxyphenyl)propionic_acid_glucuronide",Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
3-hydroxybenzoic_acid,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Hydroxybenzoic acid derivatives,NA,NA
3-methylgallic_acid_5-glucuronide,Phenylpropanoids and polyketides,Tannins,Hydrolyzable tannins,NA,NA,NA
phytic_acid,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Cyclic alcohols and derivatives,Cyclitols and derivatives,Inositol phosphates
luteolin,Phenylpropanoids and polyketides,Flavonoids,Flavones,NA,NA,NA
3-(3-hydroxyphenyl)propionic_acid_sulfate,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
"3-(3,5-dihydroxyphenyl)propionic_acid",Phenylpropanoids and polyketides,Phenylpropanoic acids,NA,NA,NA,NA
p-cresol,Benzenoids,Phenols,Cresols,Para cresols,NA,NA
ethyl_glucuronide,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Sugar acids and derivatives,Glucuronic acid derivatives,Glucuronides
kaempferol,Phenylpropanoids and polyketides,Flavonoids,Flavones,Flavonols,NA,NA
isorhamnetin,Phenylpropanoids and polyketides,Flavonoids,Flavones,Flavonols,NA,NA
eicosapentaenoic_acid,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,NA,NA
apigenin_7-glucuronide,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Flavonoid O-glucuronides,Flavonoid-7-O-glucuronides
rumenic_acid,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,NA,NA,NA
n-(2-hydroxyphenyl)acetamide_sulfate,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
"4-hydroxy-5-(3',4'-dihydroxyphenyl)-valeric_acid",Organic acids and derivatives,Hydroxy acids and derivatives,Medium-chain hydroxy acids and derivatives,NA,NA,NA
3-methylhistidine,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Histidine and derivatives
luteolin_3'-glucuronide,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Flavonoid O-glucuronides,NA
phenylacetylglutamine,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,N-acyl-alpha amino acids and derivatives
genistein_7-glucuronide,Phenylpropanoids and polyketides,Isoflavonoids,Isoflavonoid O-glycosides,NA,NA,NA
zeaxanthin,Lipids and lipid-like molecules,Prenol lipids,Tetraterpenoids,Carotenoids,Xanthophylls,NA
hydroxytyrosol_4'-glucuronide,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
syringic_acid,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Hydroxybenzoic acid derivatives,Gallic acid and derivatives,NA
p-cresol_glucuronide,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
"2,4-dihydroxybenzoic_acid_2-glucuronide",Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
