"","MetaboliteName","SuperClass","Class","SubClass","Level5","Level6","Level7"
"20","4-hydroxy-5-(3',4'-dihydroxyphenyl)-valeric_acid_3'-glucuronide","Lipids and lipid-like molecules","Saccharolipids",NA,NA,NA,NA
"23","dihydroferulic_acid","Phenylpropanoids and polyketides","Phenylpropanoic acids",NA,NA,NA,NA
"28","1-hydroxypyrene_glucuronide","Benzenoids","Pyrenes",NA,NA,NA,NA
"49","saccharin","Organoheterocyclic compounds","Benzothiazoles",NA,NA,NA,NA
"72","trans-resveratrol_3-sulfate","Phenylpropanoids and polyketides","Stilbenes",NA,NA,NA,NA
"73","cis-resveratrol_3-sulfate","Phenylpropanoids and polyketides","Stilbenes",NA,NA,NA,NA
"76","dihydrocaffeic_acid","Phenylpropanoids and polyketides","Phenylpropanoic acids",NA,NA,NA,NA
"85","4-methylumbelliferone_sulfate","Phenylpropanoids and polyketides","Coumarins and derivatives",NA,NA,NA,NA
"103","urolithin_c","Phenylpropanoids and polyketides","Coumarins and derivatives",NA,NA,NA,NA
"104","dihydroresveratrol","Phenylpropanoids and polyketides","Stilbenes",NA,NA,NA,NA
"124","3-(3,5-dihydroxyphenyl)propionic_acid","Phenylpropanoids and polyketides","Phenylpropanoic acids",NA,NA,NA,NA
"146","p-hydroxyphenyllactic_acid","Phenylpropanoids and polyketides","Phenylpropanoic acids",NA,NA,NA,NA
"148","allyl_methyl_sulfoxide","Organosulfur compounds","Sulfoxides",NA,NA,NA,NA
"151","dihydroresveratrol_3-sulfate","Phenylpropanoids and polyketides","Stilbenes",NA,NA,NA,NA
"156","3-(3-hydroxyphenyl)-3-hydroxypropionic_acid","Phenylpropanoids and polyketides","Phenylpropanoic acids",NA,NA,NA,NA
"160","trans-resveratrol_4'-sulfate","Phenylpropanoids and polyketides","Stilbenes",NA,NA,NA,NA
"161","cis-resveratrol_4'-sulfate","Phenylpropanoids and polyketides","Stilbenes",NA,NA,NA,NA
"177","iberin","Organosulfur compounds","Sulfoxides",NA,NA,NA,NA
"180","umbelliferone_sulfate","Phenylpropanoids and polyketides","Coumarins and derivatives",NA,NA,NA,NA
"183","4-hydroxy-5-(3',4'-dihydroxyphenyl)-valeric_acid_4'-glucuronide","Lipids and lipid-like molecules","Saccharolipids",NA,NA,NA,NA
"189","urolithin_b_sulfate","Phenylpropanoids and polyketides","Coumarins and derivatives",NA,NA,NA,NA
"192","trans-resveratrol","Phenylpropanoids and polyketides","Stilbenes",NA,NA,NA,NA
"193","cis-resveratrol","Phenylpropanoids and polyketides","Stilbenes",NA,NA,NA,NA
"226","3-(4-hydroxyphenyl)propionic_acid","Phenylpropanoids and polyketides","Phenylpropanoic acids",NA,NA,NA,NA
"231","allyl_methyl_sulfide","Organosulfur compounds","Allyl sulfur compounds",NA,NA,NA,NA
"287","3-(3-hydroxyphenyl)propionic_acid","Phenylpropanoids and polyketides","Phenylpropanoic acids",NA,NA,NA,NA
"293","5-(3',4'-dihydroxyphenyl)-Î³-valerolactone_3'-glucuronide","Benzenoids","Phenol ethers",NA,NA,NA,NA
"301","urolithin_a","Phenylpropanoids and polyketides","Coumarins and derivatives",NA,NA,NA,NA
"324","sulforaphane","Organosulfur compounds","Sulfoxides",NA,NA,NA,NA
"352","phenyllactic_acid","Phenylpropanoids and polyketides","Phenylpropanoic acids",NA,NA,NA,NA
"354","dihydroresveratrol_4'-sulfate","Phenylpropanoids and polyketides","Stilbenes",NA,NA,NA,NA
"364","acesulfame_k","Organic acids and derivatives","Organic sulfuric acids and derivatives",NA,NA,NA,NA
"381","urolithin_b","Phenylpropanoids and polyketides","Coumarins and derivatives",NA,NA,NA,NA
"432","dihydroisoferulic_acid","Phenylpropanoids and polyketides","Phenylpropanoic acids",NA,NA,NA,NA
